"Event time (s)","Interval (s)"
1.396979167E0,7.922500000E-1
2.189229167E0,6.678333333E-1
2.857062500E0,5.755208333E-1
3.432583333E0,5.051875000E-1
3.937770833E0,4.524375000E-1
4.390208333E0,4.029583333E-1
4.793166667E0,3.682083333E-1
5.161375000E0,3.367083333E-1
5.498083333E0,3.065208333E-1
5.804604167E0,2.804166667E-1
6.085020833E0,2.596875000E-1
6.344708333E0,2.405208333E-1
6.585229167E0,2.221250000E-1
6.807354167E0,2.046250000E-1
7.011979167E0,1.907083333E-1
7.202687500E0,1.772291667E-1
7.379916667E0,1.628125000E-1
7.542729167E0,1.549791667E-1
7.697708333E0,1.448750000E-1
7.842583333E0,1.343958333E-1
7.976979167E0,1.267083333E-1
8.103687500E0,1.204583333E-1
8.224145833E0,1.106041667E-1
8.334750000E0,1.958125000E-1
8.530562500E0,1.759791667E-1
8.706541667E0,1.477916667E-1
8.854333333E0,1.257500000E-1
8.980083333E0,0.000000000E0
