"Event time (s)","Interval (s)"
1.596979167E0,7.822500000E-1
2.399562500E0,5.786458333E-1
2.978208333E0,5.050000000E-1
3.483208333E0,4.559791667E-1
3.939187500E0,4.089375000E-1
4.348125000E0,3.712083333E-1
4.719333333E0,3.389375000E-1
5.058270833E0,3.105833333E-1
5.368854167E0,2.849375000E-1
5.653791667E0,2.630833333E-1
5.916875000E0,2.417291667E-1
6.158604167E0,2.221041667E-1
6.380708333E0,2.056250000E-1
6.586333333E0,1.891458333E-1
6.775479167E0,1.802291667E-1
6.955708333E0,1.655833333E-1
7.121291667E0,1.549583333E-1
7.276250000E0,1.429791667E-1
7.419229167E0,1.315833333E-1
7.550812500E0,1.202291667E-1
7.671041667E0,1.176458333E-1
7.788687500E0,1.052083333E-1
7.893895833E0,1.111666667E-1
8.005062500E0,1.627500000E-1
8.167812500E0,1.143750000E-1
8.282187500E0,1.361250000E-1
8.418312500E0,0.000000000E0
