"Time (s)","Illuminance (lx)"
3.644846700E-2,7.780000000E2
1.984484670E-1,7.780000000E2
3.384484670E-1,7.780000000E2
4.784484670E-1,7.890000000E2
6.184484670E-1,8.000000000E2
7.584484670E-1,8.000000000E2
8.984484670E-1,8.000000000E2
1.038448467E0,8.000000000E2
1.178448467E0,8.000000000E2
1.318448467E0,8.000000000E2
1.458448467E0,8.000000000E2
1.598448467E0,8.000000000E2
1.638448467E0,7.890000000E2
1.738448467E0,7.890000000E2
1.798448467E0,7.890000000E2
1.878448467E0,7.890000000E2
2.018448467E0,7.890000000E2
2.158448467E0,7.890000000E2
2.298448467E0,7.890000000E2
2.438449467E0,8.000000000E2
2.578448467E0,8.000000000E2
2.598448467E0,7.890000000E2
2.638448467E0,7.890000000E2
2.718448467E0,7.890000000E2
2.838448467E0,7.780000000E2
2.998448467E0,7.780000000E2
3.038448467E0,7.670000000E2
3.138448467E0,7.670000000E2
3.198448467E0,7.670000000E2
3.278448467E0,7.670000000E2
3.418448467E0,7.780000000E2
3.558448467E0,7.780000000E2
3.698448467E0,7.890000000E2
3.838448467E0,8.000000000E2
3.978448467E0,8.000000000E2
4.038448467E0,7.890000000E2
4.118448467E0,7.890000000E2
4.238448467E0,7.780000000E2
4.398448467E0,7.780000000E2
4.538448467E0,7.780000000E2
4.678448467E0,7.780000000E2
4.798448467E0,7.670000000E2
4.958448467E0,7.670000000E2
4.998448467E0,7.780000000E2
5.038448467E0,7.670000000E2
5.098448467E0,7.670000000E2
5.198448467E0,7.670000000E2
5.238448467E0,7.670000000E2
5.378448467E0,7.670000000E2
5.518448467E0,7.670000000E2
5.658448467E0,7.890000000E2
5.798448467E0,7.890000000E2
5.938449467E0,8.000000000E2
5.998615498E0,7.890000000E2
6.038615498E0,7.890000000E2
6.078615498E0,7.890000000E2
6.218615498E0,7.890000000E2
6.358615498E0,7.890000000E2
6.498615498E0,7.890000000E2
6.598615498E0,7.780000000E2
6.638615498E0,7.780000000E2
6.778615498E0,7.780000000E2
6.918615498E0,7.890000000E2
7.058615498E0,7.890000000E2
7.198615498E0,7.890000000E2
7.338615498E0,7.890000000E2
7.478615498E0,8.000000000E2
7.618615498E0,8.000000000E2
7.758615498E0,8.000000000E2
7.838615498E0,7.890000000E2
7.898615498E0,7.890000000E2
7.998615498E0,7.890000000E2
8.038615498E0,7.890000000E2
8.178615498E0,7.890000000E2
8.318615498E0,7.890000000E2
8.438616498E0,7.780000000E2
8.598615498E0,7.780000000E2
8.738615498E0,7.890000000E2
8.878615498E0,7.890000000E2
9.018615498E0,7.890000000E2
9.158615498E0,7.890000000E2
9.298615498E0,8.000000000E2
9.438616498E0,8.000000000E2
9.578615498E0,8.000000000E2
9.718615498E0,8.000000000E2
9.858615498E0,8.000000000E2
9.998615498E0,8.000000000E2
1.013861550E1,8.000000000E2
1.027861550E1,8.000000000E2
1.041861550E1,8.000000000E2
1.055861550E1,8.000000000E2
1.069861550E1,8.000000000E2
1.083861550E1,8.000000000E2
1.097861550E1,8.000000000E2
1.103861550E1,7.890000000E2
1.111861550E1,7.890000000E2
1.119861550E1,7.890000000E2
1.125861550E1,7.890000000E2
1.139861550E1,7.890000000E2
1.143861650E1,7.890000000E2
1.153861550E1,7.890000000E2
1.167861550E1,7.890000000E2
1.181861550E1,7.890000000E2
1.183861550E1,7.890000000E2
1.195761550E1,7.890000000E2
1.199761550E1,7.890000000E2
1.209761550E1,7.890000000E2
1.219761450E1,7.780000000E2
1.223761550E1,7.670000000E2
1.237761550E1,7.670000000E2
1.239761550E1,7.670000000E2
1.251761550E1,7.670000000E2
1.265761650E1,7.780000000E2
1.279761550E1,7.780000000E2
1.293761550E1,7.780000000E2
1.307761550E1,8.000000000E2
1.319761550E1,7.890000000E2
1.323761550E1,7.890000000E2
1.335761550E1,7.890000000E2
1.349761550E1,7.890000000E2
1.359761550E1,7.780000000E2
1.363761550E1,7.780000000E2
1.377761550E1,7.780000000E2
1.379761550E1,7.670000000E2
1.383761550E1,7.670000000E2
1.391761550E1,7.670000000E2
1.405761550E1,7.780000000E2
1.419761550E1,7.780000000E2
1.433761550E1,7.780000000E2
1.447761550E1,7.890000000E2
1.459761550E1,7.890000000E2
1.463761550E1,7.890000000E2
1.475761550E1,7.890000000E2
1.489761550E1,7.890000000E2
1.499661550E1,7.780000000E2
1.503661550E1,7.780000000E2
1.517661550E1,7.780000000E2
1.531661550E1,7.780000000E2
1.545661550E1,7.890000000E2
1.559661550E1,7.890000000E2
1.573661550E1,7.890000000E2
1.587661550E1,8.000000000E2
1.601661650E1,8.000000000E2
1.615661550E1,8.000000000E2
1.629661550E1,8.000000000E2
1.643725864E1,7.890000000E2
1.657725864E1,7.890000000E2
1.659725864E1,7.890000000E2
1.671725864E1,7.890000000E2
1.685625864E1,7.890000000E2
1.699625864E1,7.890000000E2
1.713625864E1,7.890000000E2
1.719625864E1,7.780000000E2
1.723625964E1,7.890000000E2
1.727625864E1,7.890000000E2
1.741625864E1,7.890000000E2
1.743625864E1,7.780000000E2
1.755625864E1,7.780000000E2
1.759625864E1,7.780000000E2
1.769625864E1,7.780000000E2
1.783625864E1,7.780000000E2
1.797625864E1,7.780000000E2
1.811625864E1,7.890000000E2
1.823625964E1,7.890000000E2
1.839625864E1,7.890000000E2
1.853625864E1,7.890000000E2
1.867625864E1,7.890000000E2
1.881625864E1,7.890000000E2
1.883625864E1,7.780000000E2
1.895625864E1,7.780000000E2
1.899625864E1,7.780000000E2
1.909625864E1,7.890000000E2
1.923625964E1,7.890000000E2
1.937625864E1,7.890000000E2
1.951625864E1,7.890000000E2
1.965625864E1,8.000000000E2
1.979625864E1,8.000000000E2
1.993625864E1,8.000000000E2
2.007625864E1,8.000000000E2
2.021625864E1,8.000000000E2
2.035625864E1,8.000000000E2
2.043625864E1,7.890000000E2
2.049625864E1,7.890000000E2
2.059625864E1,7.890000000E2
2.063625864E1,7.890000000E2
2.077625864E1,7.890000000E2
2.091625864E1,7.890000000E2
2.103625864E1,7.780000000E2
2.119625864E1,7.780000000E2
