"Time (s)","Illuminance (lx)"
5.015062400E-2,2.590000000E2
2.121506240E-1,2.590000000E2
3.521506240E-1,2.590000000E2
3.721506240E-1,2.590000000E2
4.921516240E-1,2.590000000E2
6.121506240E-1,2.590000000E2
7.721506240E-1,2.590000000E2
8.121506240E-1,2.590000000E2
9.121506240E-1,2.590000000E2
1.052150624E0,2.590000000E2
1.172150624E0,2.590000000E2
1.212150624E0,2.600000000E2
1.332150624E0,2.600000000E2
1.372150624E0,2.600000000E2
1.472150624E0,2.590000000E2
1.572150624E0,2.600000000E2
1.612150624E0,2.590000000E2
1.752150624E0,2.590000000E2
1.772150624E0,2.590000000E2
1.812150624E0,2.590000000E2
1.892150624E0,2.590000000E2
1.972150624E0,2.590000000E2
2.012150624E0,2.590000000E2
2.172150624E0,2.590000000E2
2.212150624E0,2.590000000E2
2.312150624E0,2.590000000E2
2.372150624E0,2.590000000E2
2.412150624E0,2.590000000E2
2.452150624E0,2.590000000E2
2.572150624E0,2.590000000E2
2.732150624E0,2.600000000E2
2.772150624E0,2.590000000E2
2.812150624E0,2.600000000E2
2.872150624E0,2.600000000E2
3.012150624E0,2.610000000E2
3.152150624E0,2.610000000E2
3.212150624E0,2.610000000E2
3.292150624E0,2.610000000E2
3.372150624E0,2.610000000E2
3.432150624E0,2.610000000E2
3.572933845E0,2.620000000E2
3.612933845E0,2.610000000E2
3.712933845E0,2.610000000E2
3.772933845E0,2.610000000E2
3.852933845E0,2.610000000E2
3.992934845E0,2.610000000E2
4.132933845E0,2.620000000E2
4.172933845E0,2.610000000E2
4.272933845E0,2.600000000E2
4.372933845E0,2.600000000E2
4.412933845E0,2.610000000E2
4.552933845E0,2.610000000E2
4.692933845E0,2.610000000E2
4.812933845E0,2.600000000E2
4.972933845E0,2.610000000E2
5.112933845E0,2.620000000E2
5.252933845E0,2.620000000E2
5.392933845E0,2.620000000E2
5.532933845E0,2.620000000E2
5.672933845E0,2.630000000E2
5.812933845E0,2.630000000E2
5.952933845E0,2.630000000E2
6.012933845E0,2.620000000E2
6.092933845E0,2.620000000E2
6.172933845E0,2.620000000E2
6.232933845E0,2.620000000E2
6.372933845E0,2.610000000E2
6.412933845E0,2.610000000E2
6.512933845E0,2.610000000E2
6.652933845E0,2.610000000E2
6.792933845E0,2.610000000E2
6.932933845E0,2.620000000E2
7.012933845E0,2.610000000E2
7.072933845E0,2.610000000E2
7.172933845E0,2.620000000E2
7.212933845E0,2.620000000E2
7.352933845E0,2.620000000E2
7.492934845E0,2.620000000E2
7.632933845E0,2.620000000E2
7.772933845E0,2.620000000E2
7.912933845E0,2.630000000E2
8.052933845E0,2.630000000E2
8.192933845E0,2.630000000E2
8.332933845E0,2.630000000E2
8.472933845E0,2.630000000E2
8.612933845E0,2.630000000E2
8.752933845E0,2.630000000E2
8.892933845E0,2.630000000E2
9.032933845E0,2.630000000E2
9.172933845E0,2.630000000E2
9.312933845E0,2.630000000E2
9.452933845E0,2.630000000E2
9.592933845E0,2.630000000E2
9.732933845E0,2.630000000E2
9.872933845E0,2.630000000E2
1.001293385E1,2.630000000E2
1.015293385E1,2.630000000E2
1.017293385E1,2.630000000E2
1.029293384E1,2.630000000E2
1.041293385E1,2.630000000E2
1.057293385E1,2.630000000E2
1.071293384E1,2.630000000E2
1.085293384E1,2.630000000E2
1.099293484E1,2.630000000E2
1.113293384E1,2.630000000E2
1.117293385E1,2.630000000E2
1.121293384E1,2.630000000E2
1.127293384E1,2.630000000E2
1.141293385E1,2.630000000E2
1.155293384E1,2.630000000E2
1.169274169E1,2.630000000E2
1.183274168E1,2.630000000E2
1.197274168E1,2.630000000E2
1.201274168E1,2.630000000E2
1.211274169E1,2.630000000E2
1.217274168E1,2.630000000E2
1.225274168E1,2.630000000E2
1.239274168E1,2.630000000E2
1.253274169E1,2.630000000E2
1.257274168E1,2.630000000E2
1.261274169E1,2.630000000E2
1.267274168E1,2.630000000E2
1.281274168E1,2.630000000E2
