"Time (s)","Illuminance (lx)"
4.722669800E-2,8.860000000E2
1.292266980E-1,8.860000000E2
1.692266980E-1,8.860000000E2
2.092266980E-1,8.860000000E2
2.692266980E-1,8.860000000E2
3.692266980E-1,8.860000000E2
4.092266980E-1,8.860000000E2
5.492266980E-1,8.860000000E2
5.692266980E-1,8.860000000E2
6.092266980E-1,8.860000000E2
6.892266980E-1,8.860000000E2
8.292266980E-1,8.860000000E2
9.692266980E-1,8.860000000E2
1.009226698E0,8.860000000E2
1.109226698E0,8.860000000E2
1.169226698E0,8.860000000E2
1.209226698E0,8.860000000E2
1.249227698E0,8.860000000E2
1.389226698E0,8.860000000E2
1.409226698E0,8.860000000E2
1.529226698E0,8.860000000E2
1.609226698E0,8.860000000E2
1.669226698E0,8.860000000E2
1.769226698E0,8.860000000E2
1.809226698E0,8.860000000E2
1.949226698E0,8.860000000E2
1.969226698E0,8.860000000E2
2.089226698E0,8.860000000E2
2.169226698E0,8.860000000E2
2.209226698E0,8.860000000E2
2.369226698E0,8.860000000E2
2.409226698E0,8.860000000E2
2.509226698E0,8.860000000E2
2.569226698E0,8.860000000E2
2.649226698E0,8.860000000E2
2.789226698E0,8.860000000E2
2.929226698E0,8.860000000E2
3.069226698E0,8.860000000E2
3.209226698E0,8.860000000E2
3.349226698E0,8.860000000E2
3.489226698E0,8.860000000E2
3.629226698E0,8.860000000E2
3.769226698E0,8.860000000E2
3.909226698E0,8.860000000E2
4.009226698E0,8.860000000E2
4.049226698E0,8.860000000E2
4.169226698E0,8.860000000E2
4.329226698E0,8.860000000E2
4.469744652E0,8.860000000E2
4.609744652E0,8.860000000E2
4.749745652E0,8.860000000E2
4.889744652E0,8.860000000E2
5.029744652E0,8.860000000E2
5.169744652E0,8.860000000E2
5.309744652E0,8.860000000E2
5.449744652E0,8.860000000E2
5.569744652E0,8.860000000E2
5.729744652E0,8.860000000E2
5.769744652E0,8.860000000E2
5.869744652E0,8.860000000E2
6.009744652E0,8.860000000E2
6.149744652E0,8.860000000E2
6.289744652E0,8.860000000E2
6.429744652E0,8.860000000E2
6.569744652E0,8.860000000E2
6.709744652E0,8.860000000E2
6.769744652E0,8.860000000E2
6.809744652E0,8.860000000E2
6.849744652E0,8.860000000E2
6.969744652E0,8.860000000E2
7.129744652E0,8.860000000E2
7.269744652E0,8.860000000E2
7.409744652E0,8.860000000E2
7.549744652E0,8.860000000E2
7.689744652E0,8.860000000E2
7.769744652E0,8.860000000E2
7.809744652E0,8.860000000E2
7.969744652E0,8.860000000E2
8.109744652E0,8.860000000E2
8.249745652E0,8.860000000E2
8.389744652E0,8.860000000E2
8.409744652E0,8.860000000E2
8.529744652E0,8.860000000E2
8.669744652E0,8.860000000E2
8.809744652E0,8.900000000E2
8.949744652E0,8.900000000E2
8.969744652E0,6.720000000E2
9.009744652E0,4.530000000E2
9.089039570E0,4.530000000E2
9.169039570E0,2.340000000E2
9.209039570E0,1.000000000E1
9.369039570E0,7.000000000E0
9.509039570E0,5.000000000E0
9.569039570E0,3.000000000E0
9.649039570E0,1.000000000E0
9.789039570E0,1.000000000E0
9.929039570E0,1.000000000E0
1.000903957E1,0.000000000E0
1.006903957E1,0.000000000E0
1.020903957E1,0.000000000E0
1.034903957E1,0.000000000E0
1.040903957E1,0.000000000E0
1.048903957E1,0.000000000E0
1.062903957E1,0.000000000E0
1.076903957E1,0.000000000E0
1.090903957E1,0.000000000E0
1.096903957E1,0.000000000E0
1.104903957E1,0.000000000E0
1.116903957E1,0.000000000E0
1.132903957E1,0.000000000E0
1.136903957E1,0.000000000E0
1.140903957E1,0.000000000E0
1.146903957E1,0.000000000E0
1.160903957E1,0.000000000E0
1.174904057E1,0.000000000E0
1.180903957E1,0.000000000E0
1.188903957E1,0.000000000E0
1.196903957E1,0.000000000E0
1.202903957E1,0.000000000E0
1.216903957E1,0.000000000E0
1.220903957E1,0.000000000E0
1.230903957E1,0.000000000E0
1.236903957E1,0.000000000E0
1.240903957E1,0.000000000E0
1.244903957E1,0.000000000E0
1.256903957E1,2.000000000E0
1.260903957E1,5.000000000E0
1.272903957E1,5.000000000E0
1.280903957E1,1.100000000E1
1.286903957E1,1.100000000E1
1.300903957E1,2.000000000E1
1.314903957E1,2.000000000E1
1.320903957E1,3.700000000E1
1.328903957E1,3.700000000E1
1.340903957E1,7.700000000E1
1.356903957E1,1.040000000E2
1.360903957E1,1.670000000E2
1.370903957E1,1.670000000E2
1.376903957E1,2.310000000E2
1.384903957E1,3.860000000E2
1.398903957E1,5.410000000E2
1.412903957E1,6.820000000E2
1.416903957E1,8.240000000E2
1.420903957E1,8.550000000E2
1.426903957E1,8.550000000E2
1.440903957E1,8.860000000E2
1.454903957E1,8.860000000E2
1.456903957E1,8.860000000E2
1.460903957E1,8.860000000E2
1.468903957E1,8.860000000E2
1.476903957E1,8.860000000E2
1.480903957E1,8.860000000E2
1.496903957E1,8.860000000E2
1.500903957E1,8.860000000E2
1.510903957E1,8.860000000E2
1.516903957E1,8.700000000E2
1.520903957E1,7.750000000E2
1.524904057E1,7.750000000E2
1.536903957E1,5.570000000E2
1.540903957E1,3.390000000E2
1.552903957E1,3.390000000E2
1.556903957E1,1.340000000E2
1.560903957E1,9.000000000E0
1.566903957E1,9.000000000E0
1.576903957E1,6.000000000E0
1.580903957E1,2.000000000E0
1.594903957E1,2.000000000E0
1.600903957E1,0.000000000E0
1.608903957E1,0.000000000E0
1.616903957E1,0.000000000E0
1.620903957E1,0.000000000E0
1.636903957E1,0.000000000E0
1.650903957E1,0.000000000E0
1.660903957E1,0.000000000E0
1.664903957E1,0.000000000E0
1.676903957E1,0.000000000E0
1.692903957E1,0.000000000E0
1.696903957E1,0.000000000E0
1.700903957E1,0.000000000E0
1.706903957E1,0.000000000E0
1.716903957E1,0.000000000E0
1.720903957E1,0.000000000E0
1.734903957E1,0.000000000E0
1.740903957E1,1.000000000E0
1.748903957E1,1.000000000E0
1.760903957E1,1.300000000E1
1.776903957E1,2.100000000E1
1.780903957E1,3.700000000E1
1.790903957E1,3.700000000E1
1.800988210E1,7.700000000E1
1.804988210E1,7.700000000E1
1.818988210E1,1.040000000E2
1.820988210E1,1.670000000E2
1.832988210E1,1.670000000E2
1.846988210E1,3.860000000E2
1.860988210E1,6.820000000E2
1.874988310E1,6.820000000E2
1.876988210E1,8.240000000E2
1.880988210E1,8.550000000E2
1.888988210E1,8.550000000E2
1.902988210E1,8.860000000E2
1.916988210E1,8.860000000E2
1.930988210E1,8.860000000E2
1.936988210E1,8.860000000E2
1.940988210E1,8.860000000E2
1.944988210E1,8.860000000E2
1.958988210E1,8.860000000E2
1.972988210E1,8.860000000E2
1.980988210E1,8.860000000E2
1.986988210E1,8.860000000E2
2.000988210E1,8.860000000E2
2.014988210E1,8.860000000E2
2.028988210E1,8.860000000E2
2.036988210E1,8.860000000E2
2.042988210E1,8.860000000E2
2.056988210E1,8.900000000E2
2.060988210E1,8.860000000E2
2.070988210E1,8.860000000E2
2.084988210E1,8.860000000E2
2.098988210E1,8.860000000E2
2.112988210E1,8.860000000E2
2.126988210E1,8.860000000E2
2.140988210E1,8.860000000E2
2.154988210E1,8.860000000E2
2.160988210E1,8.860000000E2
2.168988210E1,8.860000000E2
2.176988210E1,8.860000000E2
2.182988210E1,8.860000000E2
2.196988210E1,8.860000000E2
2.210988210E1,8.860000000E2
2.216988210E1,8.860000000E2
2.224988310E1,8.860000000E2
