"Time (s)","Illuminance (lx)"
3.635912300E-2,0.000000000E0
1.983591230E-1,0.000000000E0
3.383591230E-1,0.000000000E0
4.783591230E-1,0.000000000E0
6.183591230E-1,0.000000000E0
7.583591230E-1,0.000000000E0
8.983591230E-1,0.000000000E0
1.038359123E0,0.000000000E0
1.178359123E0,0.000000000E0
1.318359123E0,0.000000000E0
1.458359123E0,0.000000000E0
1.598359123E0,0.000000000E0
1.738359123E0,0.000000000E0
1.878359123E0,0.000000000E0
2.018359123E0,0.000000000E0
2.158359123E0,0.000000000E0
2.298359123E0,0.000000000E0
2.439119346E0,0.000000000E0
2.579119346E0,0.000000000E0
2.719119346E0,0.000000000E0
2.859119346E0,0.000000000E0
2.999120346E0,0.000000000E0
3.139119346E0,0.000000000E0
3.279119346E0,0.000000000E0
3.419119346E0,0.000000000E0
3.559119346E0,0.000000000E0
3.699119346E0,0.000000000E0
3.839119346E0,0.000000000E0
3.979119346E0,0.000000000E0
4.119119346E0,0.000000000E0
4.259119346E0,0.000000000E0
4.399119346E0,0.000000000E0
4.539119346E0,0.000000000E0
4.679119346E0,0.000000000E0
4.819119346E0,0.000000000E0
4.959119346E0,0.000000000E0
5.099119346E0,0.000000000E0
5.239119346E0,0.000000000E0
5.379119346E0,0.000000000E0
5.519119346E0,0.000000000E0
5.659119346E0,0.000000000E0
5.799119346E0,0.000000000E0
5.939119346E0,0.000000000E0
6.079119346E0,0.000000000E0
6.219119346E0,0.000000000E0
6.359119346E0,0.000000000E0
6.499120346E0,0.000000000E0
6.639119346E0,0.000000000E0
6.779119346E0,0.000000000E0
6.919119346E0,0.000000000E0
7.059119346E0,0.000000000E0
7.199119346E0,0.000000000E0
7.339119346E0,0.000000000E0
7.479119346E0,0.000000000E0
7.619119346E0,0.000000000E0
7.759119346E0,0.000000000E0
7.899119346E0,0.000000000E0
8.039119346E0,0.000000000E0
8.179119346E0,0.000000000E0
8.199119346E0,0.000000000E0
8.239119346E0,0.000000000E0
8.319119346E0,0.000000000E0
8.399119346E0,0.000000000E0
8.439119346E0,0.000000000E0
8.599119346E0,5.000000000E0
8.639119346E0,1.400000000E1
8.739119346E0,1.400000000E1
8.799119346E0,2.500000000E1
8.839119346E0,4.300000000E1
8.879107346E0,4.300000000E1
8.999120346E0,5.700000000E1
9.039119346E0,8.500000000E1
9.159119346E0,8.500000000E1
9.199119346E0,1.170000000E2
9.239119346E0,1.830000000E2
9.299119346E0,1.830000000E2
9.399119346E0,2.540000000E2
9.439119346E0,3.950000000E2
9.579119346E0,3.950000000E2
9.599119346E0,5.530000000E2
9.719119346E0,6.890000000E2
9.799108346E0,8.540000000E2
9.838910147E0,9.210000000E2
9.998911147E0,9.750000000E2
1.003891015E1,1.000000000E3
1.013891015E1,1.000000000E3
1.019891015E1,1.001000000E3
1.027890115E1,1.002000000E3
1.041891015E1,1.004000000E3
1.043891015E1,1.005000000E3
1.055891015E1,1.005000000E3
1.059891015E1,1.005000000E3
1.069891015E1,1.009000000E3
1.083891015E1,1.019000000E3
1.097891015E1,1.019000000E3
1.111891015E1,1.035000000E3
1.125891015E1,1.044000000E3
1.139891015E1,1.044000000E3
1.153891015E1,1.044000000E3
1.167890215E1,1.044000000E3
1.181891015E1,1.044000000E3
1.195891015E1,1.044000000E3
1.199891115E1,1.044000000E3
1.209893615E1,1.044000000E3
1.219891015E1,1.044000000E3
1.223891015E1,1.044000000E3
