"Time (s)","Illuminance (lx)"
4.772047100E-2,2.780000000E2
2.097204710E-1,2.780000000E2
3.497204710E-1,2.780000000E2
4.897204710E-1,2.780000000E2
6.297204710E-1,2.780000000E2
7.697204710E-1,2.780000000E2
9.097204710E-1,2.780000000E2
1.049720471E0,2.780000000E2
1.189720471E0,2.780000000E2
1.329720471E0,2.780000000E2
1.469720471E0,2.780000000E2
1.609721471E0,2.780000000E2
1.749720471E0,2.780000000E2
1.889720471E0,2.780000000E2
2.029720471E0,2.780000000E2
2.149720471E0,2.780000000E2
2.309720471E0,2.780000000E2
2.349720471E0,2.780000000E2
2.449720471E0,2.780000000E2
2.509720471E0,2.780000000E2
2.589720471E0,2.780000000E2
2.729720471E0,2.780000000E2
2.749720471E0,2.780000000E2
2.869720471E0,2.780000000E2
2.909720471E0,2.780000000E2
3.009720471E0,2.780000000E2
3.149720471E0,2.780000000E2
3.289720471E0,2.780000000E2
3.429720471E0,2.780000000E2
3.569720471E0,2.780000000E2
3.709720471E0,2.780000000E2
3.849720471E0,2.780000000E2
3.989720471E0,2.780000000E2
4.129720471E0,2.780000000E2
4.269720471E0,2.780000000E2
4.409720471E0,2.780000000E2
4.509720471E0,2.780000000E2
4.549720471E0,2.780000000E2
4.689720471E0,2.780000000E2
4.829720471E0,2.780000000E2
4.969720471E0,2.780000000E2
5.109721471E0,2.780000000E2
5.249720471E0,2.780000000E2
5.309720471E0,2.780000000E2
5.349720471E0,2.780000000E2
5.389720471E0,2.780000000E2
5.529720471E0,2.780000000E2
5.669720471E0,2.780000000E2
5.809720471E0,2.780000000E2
5.909720471E0,2.780000000E2
5.949720471E0,2.780000000E2
6.089720471E0,2.780000000E2
6.109721471E0,2.780000000E2
6.229720471E0,2.780000000E2
6.369720471E0,2.780000000E2
6.509720471E0,2.780000000E2
6.549720471E0,2.780000000E2
6.649720471E0,2.780000000E2
6.709720471E0,2.780000000E2
6.788720471E0,2.780000000E2
6.928720471E0,2.780000000E2
6.948720471E0,2.780000000E2
7.068720471E0,2.780000000E2
7.148720471E0,2.780000000E2
7.208720471E0,2.780000000E2
7.348720471E0,2.780000000E2
7.488720471E0,2.780000000E2
7.508720471E0,2.780000000E2
7.548720471E0,2.780000000E2
7.628720471E0,2.780000000E2
7.708720471E0,2.780000000E2
7.768720471E0,2.780000000E2
7.908720471E0,2.780000000E2
8.048720471E0,2.780000000E2
8.108720471E0,2.780000000E2
8.148890034E0,2.780000000E2
8.188890034E0,2.780000000E2
8.328891034E0,2.780000000E2
8.348890034E0,2.780000000E2
8.468890034E0,2.780000000E2
8.548890034E0,2.780000000E2
8.608890034E0,2.780000000E2
8.748890034E0,2.780000000E2
8.888890034E0,2.780000000E2
8.948890034E0,2.780000000E2
9.028890034E0,2.780000000E2
9.148890034E0,2.780000000E2
9.308890034E0,2.780000000E2
9.348890034E0,2.780000000E2
9.448890034E0,2.780000000E2
9.588890034E0,2.790000000E2
9.708890034E0,2.790000000E2
9.748890034E0,2.790000000E2
9.868890034E0,2.790000000E2
9.908890034E0,2.780000000E2
1.000889003E1,2.780000000E2
1.014889003E1,2.780000000E2
1.028889003E1,2.780000000E2
1.030889003E1,2.780000000E2
1.034889003E1,2.780000000E2
1.042889003E1,2.780000000E2
1.056889003E1,2.780000000E2
1.070889003E1,2.780000000E2
1.084889003E1,2.780000000E2
1.098889003E1,2.790000000E2
1.112889003E1,2.790000000E2
1.126889003E1,2.800000000E2
1.140889003E1,2.830000000E2
1.150889003E1,2.810000000E2
1.154889003E1,2.810000000E2
1.168889003E1,2.810000000E2
1.170889003E1,2.800000000E2
1.174889003E1,2.800000000E2
1.182889103E1,2.800000000E2
1.190889003E1,2.790000000E2
1.196889003E1,2.780000000E2
1.210889003E1,2.780000000E2
1.214889003E1,2.780000000E2
1.224889003E1,2.780000000E2
1.230889003E1,2.780000000E2
1.238889003E1,2.780000000E2
1.250889003E1,2.780000000E2
1.254889003E1,2.780000000E2
1.266889003E1,2.780000000E2
1.280889003E1,2.800000000E2
1.294889003E1,2.810000000E2
1.308889003E1,2.810000000E2
1.310889003E1,2.800000000E2
1.314889003E1,2.800000000E2
1.322889003E1,2.800000000E2
1.336889003E1,2.810000000E2
1.350889003E1,2.800000000E2
1.364889003E1,2.790000000E2
1.378889003E1,2.780000000E2
1.390889003E1,2.780000000E2
1.406889003E1,2.780000000E2
1.414889003E1,2.780000000E2
1.420889003E1,2.780000000E2
1.430889003E1,2.780000000E2
1.434889003E1,2.790000000E2
1.448889003E1,2.790000000E2
1.462889003E1,2.810000000E2
1.474889003E1,2.800000000E2
1.490889003E1,2.800000000E2
1.494889003E1,2.800000000E2
1.504889003E1,2.800000000E2
1.510889003E1,2.800000000E2
1.518889003E1,2.800000000E2
1.532889103E1,2.800000000E2
1.546889003E1,2.800000000E2
1.554889003E1,2.800000000E2
1.560889003E1,2.800000000E2
1.574889003E1,2.800000000E2
1.588889003E1,2.800000000E2
1.590889003E1,2.790000000E2
1.594889003E1,2.790000000E2
1.602889003E1,2.790000000E2
1.614889003E1,2.780000000E2
1.630889003E1,2.780000000E2
