"Time (s)","Illuminance (lx)"
3.818854500E-2,2.130000000E2
1.001885450E-1,2.130000000E2
1.401885450E-1,2.120000000E2
2.601885450E-1,2.120000000E2
3.001885450E-1,2.120000000E2
4.001885450E-1,2.120000000E2
5.401885450E-1,2.130000000E2
6.801885450E-1,2.130000000E2
8.201885450E-1,2.140000000E2
9.401885450E-1,2.140000000E2
1.100188545E0,2.140000000E2
1.240188545E0,2.140000000E2
1.380188545E0,2.140000000E2
1.520188545E0,2.140000000E2
1.660189545E0,2.140000000E2
1.700188545E0,2.130000000E2
1.740188545E0,2.140000000E2
1.800188545E0,2.140000000E2
1.900188545E0,2.140000000E2
1.940188545E0,2.140000000E2
2.080188545E0,2.140000000E2
2.140188545E0,2.140000000E2
2.220188545E0,2.140000000E2
2.300188545E0,2.140000000E2
2.340188545E0,2.140000000E2
2.500188545E0,2.150000000E2
2.640188545E0,2.150000000E2
2.780188545E0,2.150000000E2
2.920188545E0,2.150000000E2
3.060188545E0,2.150000000E2
3.100188545E0,2.150000000E2
3.140188545E0,2.150000000E2
3.200188545E0,2.150000000E2
3.340188545E0,2.150000000E2
3.480188545E0,2.150000000E2
3.500188545E0,2.150000000E2
3.540188545E0,2.150000000E2
3.620188545E0,2.150000000E2
3.700188545E0,2.150000000E2
3.740674000E0,2.150000000E2
3.900674000E0,2.140000000E2
3.940674000E0,2.140000000E2
4.040674000E0,2.140000000E2
4.180674000E0,2.140000000E2
4.300674000E0,2.140000000E2
4.340674000E0,2.140000000E2
4.460674000E0,2.140000000E2
4.600674000E0,2.140000000E2
4.740674000E0,2.150000000E2
4.880674000E0,2.150000000E2
4.940674000E0,2.150000000E2
5.020674000E0,2.150000000E2
5.100674000E0,2.150000000E2
5.140674000E0,2.150000000E2
5.300674000E0,2.150000000E2
5.340674000E0,2.150000000E2
5.440674000E0,2.150000000E2
5.500674000E0,2.150000000E2
5.580674000E0,2.150000000E2
5.720674000E0,2.150000000E2
5.740674000E0,2.150000000E2
5.860674000E0,2.150000000E2
5.940674000E0,2.150000000E2
6.000674000E0,2.150000000E2
6.140674000E0,2.150000000E2
6.280674000E0,2.150000000E2
6.420674000E0,2.150000000E2
6.560674000E0,2.150000000E2
6.700674000E0,2.150000000E2
6.740674000E0,2.150000000E2
6.840674000E0,2.150000000E2
6.900674000E0,2.150000000E2
6.940674000E0,2.150000000E2
6.980674000E0,2.150000000E2
7.120674000E0,2.150000000E2
7.260674000E0,2.150000000E2
7.340674000E0,2.160000000E2
7.400674000E0,2.160000000E2
7.540674000E0,2.160000000E2
7.680674000E0,2.160000000E2
7.700674000E0,2.160000000E2
7.820674000E0,2.150000000E2
7.960674000E0,2.150000000E2
8.100674000E0,2.150000000E2
8.140674000E0,2.150000000E2
8.240674000E0,2.150000000E2
8.380674000E0,2.150000000E2
8.520674000E0,2.150000000E2
8.660675000E0,2.150000000E2
8.700674000E0,2.150000000E2
8.800674000E0,2.150000000E2
8.900674000E0,2.150000000E2
8.940674000E0,2.150000000E2
9.080674000E0,2.150000000E2
9.100674000E0,2.150000000E2
9.220674000E0,2.150000000E2
9.300674000E0,2.150000000E2
9.360674000E0,2.160000000E2
9.500674000E0,2.150000000E2
9.640674000E0,2.150000000E2
9.780674000E0,2.150000000E2
9.920674000E0,2.150000000E2
9.940674000E0,2.150000000E2
1.006067400E1,2.150000000E2
1.010067400E1,2.150000000E2
1.020067400E1,2.150000000E2
1.034067400E1,2.150000000E2
1.048067400E1,2.150000000E2
1.062067400E1,2.150000000E2
1.076067400E1,2.150000000E2
1.090067400E1,2.150000000E2
1.104067400E1,2.150000000E2
1.110067400E1,2.150000000E2
1.114067400E1,2.150000000E2
1.118067400E1,2.150000000E2
1.132067400E1,2.150000000E2
1.146067400E1,2.150000000E2
1.150067400E1,2.150000000E2
1.154067400E1,2.150000000E2
1.160067400E1,2.150000000E2
1.174067400E1,2.150000000E2
1.188067400E1,2.150000000E2
1.190067400E1,2.150000000E2
1.194067400E1,2.150000000E2
1.202067400E1,2.150000000E2
1.210067400E1,2.150000000E2
1.216037653E1,2.150000000E2
1.230037553E1,2.150000000E2
1.244037553E1,2.150000000E2
1.254037553E1,2.150000000E2
1.258037553E1,2.150000000E2
1.270037553E1,2.150000000E2
1.286037553E1,2.150000000E2
1.300037553E1,2.150000000E2
1.314037553E1,2.150000000E2
1.328037553E1,2.150000000E2
1.334037553E1,2.150000000E2
1.342037553E1,2.150000000E2
1.356037553E1,2.150000000E2
1.370037553E1,2.150000000E2
1.384037553E1,2.150000000E2
1.398037553E1,2.150000000E2
1.410037553E1,2.150000000E2
1.426037553E1,2.150000000E2
1.430037553E1,2.150000000E2
1.440037553E1,2.150000000E2
1.454037553E1,2.150000000E2
1.468037553E1,2.150000000E2
1.470037553E1,2.150000000E2
1.474037553E1,2.150000000E2
1.482037553E1,2.150000000E2
1.496037553E1,2.150000000E2
1.510037553E1,2.150000000E2
1.524037553E1,2.150000000E2
1.538037553E1,2.150000000E2
1.550037553E1,2.150000000E2
1.554037553E1,2.150000000E2
1.566037653E1,2.150000000E2
1.570037553E1,2.150000000E2
1.574037553E1,2.150000000E2
1.580037553E1,2.150000000E2
1.594037553E1,2.150000000E2
1.608037553E1,2.150000000E2
1.610037553E1,2.150000000E2
1.614037553E1,2.150000000E2
1.622037553E1,2.150000000E2
1.636037553E1,2.150000000E2
1.650037553E1,2.150000000E2
1.654037553E1,2.150000000E2
1.664037553E1,2.150000000E2
1.674037553E1,2.150000000E2
1.678037553E1,2.150000000E2
1.692037553E1,2.150000000E2
1.706037553E1,2.150000000E2
1.710037553E1,2.150000000E2
1.720037553E1,2.150000000E2
1.730037553E1,2.150000000E2
1.734037553E1,2.150000000E2
1.748037553E1,2.150000000E2
1.750037553E1,2.150000000E2
1.754037553E1,2.150000000E2
1.762037553E1,2.150000000E2
1.776037553E1,2.150000000E2
1.790037553E1,2.150000000E2
1.804037553E1,2.150000000E2
1.810037553E1,2.150000000E2
1.818037553E1,2.150000000E2
1.830037553E1,2.150000000E2
1.834037553E1,2.150000000E2
1.846037553E1,2.150000000E2
1.850037553E1,2.150000000E2
1.860037553E1,2.150000000E2
1.874037553E1,2.150000000E2
1.888037553E1,2.150000000E2
1.902037553E1,2.150000000E2
1.910037553E1,2.150000000E2
1.914037553E1,2.150000000E2
1.930037553E1,2.150000000E2
1.944037553E1,2.150000000E2
1.958037553E1,2.150000000E2
1.972037553E1,2.150000000E2
1.986037553E1,2.150000000E2
2.000037553E1,2.150000000E2
2.014037553E1,2.150000000E2
2.028037553E1,2.150000000E2
2.042037553E1,2.150000000E2
2.054037553E1,2.150000000E2
2.070037553E1,2.150000000E2
2.084037553E1,2.150000000E2
2.090037553E1,2.150000000E2
2.094037553E1,2.150000000E2
2.098037553E1,2.150000000E2
2.112037553E1,2.150000000E2
2.114037553E1,2.150000000E2
2.126037553E1,2.150000000E2
2.130037553E1,2.150000000E2
2.134037553E1,2.150000000E2
2.140037553E1,2.150000000E2
2.154037553E1,2.150000000E2
2.168037553E1,2.150000000E2
2.182037553E1,2.150000000E2
2.194037553E1,2.150000000E2
2.210037653E1,2.150000000E2
2.224037553E1,2.150000000E2
