"Time (s)","Illuminance (lx)"
3.141031700E-2,4.020000000E2
1.534103170E-1,4.020000000E2
2.334103170E-1,4.020000000E2
2.934103170E-1,4.020000000E2
3.934103170E-1,4.030000000E2
4.334103170E-1,4.050000000E2
5.734103170E-1,4.050000000E2
7.134113170E-1,4.050000000E2
7.934103170E-1,4.060000000E2
8.534103170E-1,4.050000000E2
9.934103170E-1,4.050000000E2
1.033410317E0,4.050000000E2
1.133410317E0,4.050000000E2
1.233410317E0,4.040000000E2
1.273410317E0,4.040000000E2
1.413410317E0,4.040000000E2
1.553410317E0,4.040000000E2
1.633410317E0,4.050000000E2
1.693410317E0,4.050000000E2
1.833410317E0,4.040000000E2
1.973410317E0,4.040000000E2
1.993410317E0,4.050000000E2
2.113410317E0,4.050000000E2
2.233410317E0,4.040000000E2
2.393410317E0,4.040000000E2
2.433410317E0,4.040000000E2
2.533410317E0,4.040000000E2
2.673410317E0,4.040000000E2
2.793410317E0,4.040000000E2
2.833410317E0,4.040000000E2
2.953410317E0,4.040000000E2
3.093410317E0,4.040000000E2
3.233410317E0,4.040000000E2
3.373410317E0,4.040000000E2
3.513410317E0,4.040000000E2
3.653410317E0,4.050000000E2
3.793410317E0,4.050000000E2
3.933410317E0,4.050000000E2
3.994707228E0,4.060000000E2
4.034707228E0,4.060000000E2
4.074707228E0,4.060000000E2
4.194707228E0,4.060000000E2
4.234707228E0,4.050000000E2
4.354707228E0,4.050000000E2
4.394707228E0,4.020000000E2
4.434707228E0,4.020000000E2
4.494707228E0,4.020000000E2
4.634707228E0,4.020000000E2
4.774707228E0,4.020000000E2
4.794707228E0,4.020000000E2
4.834707228E0,4.020000000E2
4.914707228E0,4.020000000E2
4.994707228E0,4.020000000E2
5.034707228E0,4.020000000E2
5.194707228E0,4.040000000E2
5.234707228E0,4.050000000E2
5.334707228E0,4.050000000E2
5.474707228E0,4.060000000E2
5.614707228E0,4.070000000E2
5.634707228E0,4.060000000E2
5.754707228E0,4.060000000E2
5.794707228E0,4.030000000E2
5.834707228E0,4.020000000E2
5.894707228E0,4.020000000E2
6.034707228E0,4.010000000E2
6.174707228E0,4.010000000E2
6.314707228E0,4.010000000E2
6.454707228E0,4.020000000E2
6.594707228E0,4.060000000E2
6.634707228E0,4.030000000E2
6.734707228E0,4.030000000E2
6.794707228E0,4.030000000E2
6.874707228E0,4.020000000E2
6.994707228E0,4.020000000E2
7.154707228E0,4.020000000E2
7.194707228E0,4.010000000E2
7.234707228E0,4.010000000E2
7.294707228E0,4.010000000E2
7.394707228E0,4.010000000E2
7.434707228E0,4.040000000E2
7.574707228E0,4.040000000E2
7.594707228E0,4.050000000E2
7.714708228E0,4.060000000E2
7.854707228E0,4.060000000E2
7.994707228E0,4.060000000E2
8.034707228E0,4.060000000E2
8.134707228E0,4.060000000E2
8.234707228E0,4.070000000E2
8.274707228E0,4.070000000E2
8.394707228E0,4.070000000E2
8.434707228E0,4.070000000E2
8.554707228E0,4.070000000E2
8.594707228E0,4.070000000E2
8.634707228E0,4.060000000E2
8.694707228E0,4.060000000E2
8.834707228E0,4.060000000E2
8.974707228E0,4.060000000E2
8.994707228E0,4.060000000E2
9.114707228E0,4.060000000E2
9.234707228E0,4.050000000E2
9.394707228E0,4.050000000E2
9.434707228E0,4.050000000E2
9.534707228E0,4.050000000E2
9.594707228E0,4.060000000E2
9.674707228E0,4.060000000E2
9.814707228E0,4.060000000E2
9.954671957E0,4.060000000E2
9.994671957E0,4.060000000E2
1.003467196E1,4.060000000E2
1.009467196E1,4.060000000E2
1.019467196E1,4.060000000E2
1.023467196E1,4.070000000E2
1.037467196E1,4.070000000E2
