"Time (s)","Illuminance (lx)"
3.644481800E-2,6.150000000E2
5.844481800E-2,6.150000000E2
9.844481800E-2,6.130000000E2
1.984448180E-1,6.130000000E2
2.584448180E-1,6.130000000E2
3.384448180E-1,6.130000000E2
4.584448180E-1,6.150000000E2
4.984458180E-1,6.130000000E2
6.184448180E-1,6.130000000E2
6.984448180E-1,6.150000000E2
7.584448180E-1,6.150000000E2
8.584448180E-1,6.150000000E2
8.984448180E-1,6.150000000E2
1.038444818E0,6.150000000E2
1.098444818E0,6.130000000E2
1.178444818E0,6.130000000E2
1.258444818E0,6.040000000E2
1.298444818E0,6.040000000E2
1.458444818E0,6.070000000E2
1.498444818E0,6.040000000E2
1.598444818E0,6.040000000E2
1.658444818E0,6.040000000E2
1.698444818E0,6.070000000E2
1.738444818E0,6.070000000E2
1.858444818E0,5.990000000E2
1.898444818E0,5.960000000E2
2.018444818E0,5.960000000E2
2.058444818E0,6.070000000E2
2.098444818E0,5.960000000E2
2.158444818E0,5.960000000E2
2.258444818E0,5.960000000E2
2.298444818E0,5.990000000E2
2.438444818E0,5.990000000E2
2.458444818E0,5.880000000E2
2.498444818E0,5.880000000E2
2.578444818E0,5.880000000E2
2.658444818E0,5.960000000E2
2.698444818E0,5.860000000E2
2.858444818E0,5.860000000E2
2.898444818E0,5.940000000E2
2.997635153E0,5.940000000E2
3.057635153E0,5.940000000E2
3.097635153E0,5.860000000E2
3.137635153E0,5.860000000E2
3.277636153E0,5.860000000E2
3.297635153E0,5.860000000E2
3.417635153E0,5.860000000E2
3.557635153E0,5.990000000E2
3.657635153E0,5.960000000E2
3.697635153E0,5.960000000E2
3.837635153E0,5.960000000E2
3.857635153E0,5.960000000E2
3.977635153E0,6.070000000E2
4.117635153E0,6.180000000E2
4.257635153E0,6.180000000E2
4.297635153E0,6.180000000E2
4.397635153E0,6.180000000E2
4.537635153E0,6.230000000E2
4.677635153E0,6.230000000E2
4.817635153E0,6.230000000E2
4.957635153E0,6.230000000E2
5.057635153E0,6.230000000E2
5.097635153E0,6.230000000E2
5.237635153E0,6.230000000E2
5.377635153E0,6.230000000E2
5.517635153E0,6.230000000E2
5.657635153E0,6.230000000E2
5.697635153E0,6.120000000E2
5.797635153E0,6.120000000E2
5.857635153E0,6.120000000E2
5.897635153E0,6.120000000E2
5.937635153E0,6.120000000E2
6.057635153E0,6.090000000E2
6.097635153E0,6.090000000E2
6.217635153E0,6.090000000E2
6.297635153E0,6.070000000E2
6.357635153E0,6.070000000E2
6.457635153E0,6.070000000E2
6.497635153E0,6.150000000E2
6.637635153E0,6.150000000E2
6.657635153E0,6.150000000E2
6.777636153E0,6.150000000E2
6.917635153E0,6.180000000E2
7.057635153E0,6.180000000E2
7.097635153E0,6.200000000E2
7.197635153E0,6.200000000E2
7.257635153E0,6.200000000E2
7.297635153E0,6.200000000E2
7.337635153E0,6.200000000E2
7.457635153E0,6.200000000E2
7.617635153E0,6.200000000E2
7.757635153E0,6.200000000E2
7.857635153E0,6.090000000E2
7.897635153E0,5.970000000E2
8.037635153E0,5.970000000E2
8.057635153E0,5.970000000E2
8.178670840E0,5.990000000E2
8.258670840E0,5.990000000E2
8.298670840E0,5.990000000E2
8.458670840E0,5.990000000E2
8.497670840E0,5.970000000E2
8.597670840E0,5.970000000E2
8.657670840E0,6.070000000E2
8.697670840E0,6.200000000E2
8.737670840E0,6.200000000E2
8.877670840E0,6.200000000E2
9.017670840E0,6.200000000E2
9.157670840E0,6.200000000E2
9.257670840E0,6.200000000E2
9.297670840E0,6.230000000E2
9.437670840E0,6.230000000E2
9.577670840E0,6.230000000E2
9.717670840E0,6.230000000E2
9.857670840E0,6.230000000E2
9.997671840E0,6.230000000E2
1.013767084E1,6.230000000E2
1.025767084E1,6.100000000E2
1.029767084E1,6.100000000E2
1.041767084E1,6.100000000E2
1.045767084E1,5.990000000E2
1.049767184E1,5.990000000E2
1.055767084E1,5.990000000E2
1.069767084E1,5.990000000E2
1.083767084E1,5.990000000E2
1.085767084E1,5.990000000E2
1.089767084E1,5.880000000E2
1.097767084E1,5.880000000E2
1.105767084E1,6.010000000E2
1.111767084E1,6.010000000E2
1.125767084E1,6.010000000E2
1.129767084E1,6.010000000E2
1.139767084E1,6.010000000E2
1.149767184E1,5.990000000E2
1.153767084E1,5.990000000E2
1.165767084E1,5.990000000E2
1.169767084E1,5.990000000E2
1.181767084E1,5.990000000E2
1.185767084E1,5.990000000E2
1.195767084E1,5.990000000E2
1.209767084E1,5.990000000E2
1.223767084E1,5.990000000E2
1.229767084E1,5.900000000E2
1.237767084E1,5.900000000E2
1.245767084E1,5.800000000E2
1.249767184E1,5.900000000E2
1.265767084E1,5.900000000E2
1.279767084E1,5.900000000E2
1.289767084E1,5.900000000E2
1.293767084E1,5.900000000E2
1.307767084E1,5.900000000E2
1.309767084E1,5.900000000E2
1.321767084E1,5.900000000E2
1.335767084E1,6.010000000E2
1.345767084E1,5.880000000E2
1.349767184E1,5.880000000E2
1.363767084E1,5.880000000E2
1.377767084E1,5.990000000E2
1.391767084E1,6.100000000E2
1.405767084E1,6.070000000E2
1.409767084E1,5.970000000E2
1.419767084E1,5.970000000E2
1.425767084E1,6.090000000E2
1.433767084E1,6.090000000E2
1.447767084E1,6.090000000E2
1.449767184E1,5.990000000E2
1.461767084E1,5.990000000E2
1.465767084E1,5.990000000E2
1.469767084E1,5.880000000E2
1.475767084E1,5.880000000E2
1.485767084E1,5.900000000E2
1.489767084E1,6.010000000E2
1.503767084E1,6.010000000E2
1.505767084E1,5.900000000E2
1.509767084E1,5.900000000E2
1.517767084E1,5.900000000E2
1.531767084E1,6.010000000E2
1.545767084E1,6.010000000E2
1.549767184E1,6.010000000E2
1.559767084E1,6.010000000E2
1.565767084E1,6.010000000E2
1.573767084E1,6.010000000E2
1.585767084E1,6.010000000E2
1.589767084E1,5.880000000E2
1.601767084E1,5.880000000E2
1.615767084E1,5.740000000E2
1.625767084E1,5.740000000E2
1.629767084E1,5.740000000E2
1.643767084E1,5.740000000E2
1.645767084E1,5.740000000E2
1.649767184E1,5.720000000E2
1.657767084E1,5.720000000E2
1.665767084E1,5.720000000E2
1.669767084E1,5.740000000E2
1.685767084E1,5.760000000E2
1.699767184E1,5.780000000E2
1.705667084E1,5.780000000E2
1.709667084E1,5.780000000E2
1.713667084E1,5.780000000E2
1.725667084E1,5.780000000E2
1.729667084E1,5.800000000E2
1.741667084E1,5.800000000E2
1.745667084E1,5.800000000E2
1.749667084E1,5.900000000E2
1.755667084E1,5.900000000E2
1.765667084E1,6.010000000E2
1.769422510E1,5.990000000E2
1.783422510E1,5.990000000E2
1.785422510E1,5.990000000E2
1.797422511E1,6.100000000E2
1.805422510E1,6.100000000E2
1.809422510E1,6.100000000E2
1.825422510E1,6.100000000E2
1.829422511E1,5.990000000E2
1.839422510E1,5.990000000E2
1.849422510E1,5.880000000E2
1.853422510E1,5.880000000E2
1.865422511E1,5.880000000E2
1.869422510E1,5.760000000E2
1.881422511E1,5.760000000E2
1.895422511E1,5.720000000E2
1.909422510E1,5.720000000E2
1.923422510E1,5.720000000E2
1.925422510E1,5.720000000E2
1.929422511E1,5.720000000E2
1.937422510E1,5.720000000E2
1.945422511E1,5.720000000E2
1.949422510E1,5.720000000E2
1.965422511E1,5.720000000E2
1.969422510E1,5.740000000E2
